DNI,CLIENTE,IBAN,TIPO_CUENTA,SALDO
41293847S,Antonio Garcia,ES91 2100 0418 4502 0005 1332,Cuenta Nómina,1797.5
41293847S,Antonio Garcia,ES55 0049 1111 2222 3333 4444,Cuenta Ahorro,12197.0
41293847S,Antonio Garcia,ES12 2100 0000 1111 2222 3333,Tarjeta Crédito,500.00
03928174Q,Maria Lopez,ES88 2038 5778 9830 0044 5566,Cuenta Nómina,12955.0
03928174Q,Maria Lopez,ES22 1465 0100 7220 3087 6293,Cuenta Joven,5200.25
03928174Q,Maria Lopez,ES91 1465 5555 6666 7777 8888,Hucha Virtual,1200.00
72839102J,Laura Rodriguez,ES99 0049 1500 0512 3456 7890,Cuenta Business,150000.00
72839102J,Laura Rodriguez,ES98 0049 9988 7766 5544 3322,Cuenta Personal,4500.00
72839102J,Laura Rodriguez,ES10 3025 9999 8888 7777 6666,Inversión Bolsa,50000.00
58291038K,Carlos Sanchez,ES15 0075 0001 8806 0555 4433,Cuenta Estándar,3200.00
58291038K,Carlos Sanchez,ES14 0075 1234 5678 9012 3456,Cuenta Ahorro,15000.00
19283746L,Ana Hernandez,ES55 0182 7390 1102 0098 7654,Cuenta Nómina,45000.75
19283746L,Ana Hernandez,ES54 0182 9876 5432 1098 7654,Fondo Emergencia,12000.00
19283746L,Ana Hernandez,ES21 0182 5555 4444 3333 2222,Tarjeta Viajes,2000.00
92837461M,David Gonzalez,ES12 3025 0002 4490 1234 5678,Cuenta Joven,890.10
92837461M,David Gonzalez,ES13 3025 1111 2222 3333 4444,Cuenta Ahorro,2500.00
38472910N,Jose Perez,ES34 0128 0033 5501 9988 7766,Cuenta Pensión,12500.00
38472910N,Jose Perez,ES35 0128 5555 4444 3333 2222,Cuenta Nietos,500.00
38472910N,Jose Perez,ES36 0128 9999 8888 7777 6666,Plazo Fijo,20000.00
47382910P,Elena Gomez,ES76 2085 9293 0503 4050 6070,Cuenta Nómina,67000.50
47382910P,Elena Gomez,ES77 2085 1122 3344 5566 7788,Cuenta Conjunta,3500.00
83920174V,Manuel Ruiz,ES44 0081 0044 1104 2233 4455,Cuenta Básica,2450.00
83920174V,Manuel Ruiz,ES45 0081 6677 8899 0011 2233,Tarjeta Prepago,150.00
20193847X,Isabel Diaz,ES66 2100 1122 3344 5566 7788,Cuenta Premium,95000.00
20193847X,Isabel Diaz,ES67 2100 5544 3322 1100 9988,Inversión Bolsa,125000.00
20193847X,Isabel Diaz,ES68 2100 4433 2211 0099 8877,Cuenta Divisas,5000.00
74839201Z,Javier Alvarez,ES82 0030 5050 6060 7070 8080,Cuenta Autónomo,1200.50
